model,start_time,end_time
MRPC,2020-07-26 22:06:01.871148,2020-07-26 22:17:54.873727
STS-B,2020-07-26 22:17:59.974569,2020-07-26 22:29:56.204277
CoLA,2020-07-26 22:30:00.955907,2020-07-26 22:41:41.335156
