model,start_time,end_time
MRPC,2020-07-26 21:01:07.553089,2020-07-26 21:13:08.475355
STS-B,2020-07-26 21:13:13.697629,2020-07-26 21:25:17.239098
CoLA,2020-07-26 21:25:22.254609,2020-07-26 21:37:11.114499
