timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:43:53.977, 97, 75, 11178, 10761, 417, 252.87
2020/06/08 18:43:53.982, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:43:58.986, 99, 63, 11178, 10761, 417, 164.57
2020/06/08 18:43:58.990, 0, 0, 11176, 170, 11006, 10.29
2020/06/08 18:44:03.993, 97, 76, 11178, 10761, 417, 264.26
2020/06/08 18:44:04.001, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:44:09.008, 99, 62, 11178, 10761, 417, 242.08
2020/06/08 18:44:09.010, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:44:14.014, 100, 70, 11178, 10761, 417, 262.75
2020/06/08 18:44:14.021, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:44:19.028, 100, 70, 11178, 10761, 417, 272.76
2020/06/08 18:44:19.030, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:44:24.034, 100, 66, 11178, 10761, 417, 267.26
2020/06/08 18:44:24.036, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:44:29.040, 97, 74, 11178, 10761, 417, 268.32
2020/06/08 18:44:29.045, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:44:34.049, 100, 63, 11178, 10761, 417, 260.29
2020/06/08 18:44:34.051, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:44:39.055, 97, 78, 11178, 10761, 417, 265.59
2020/06/08 18:44:39.060, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:44:44.063, 100, 69, 11178, 10761, 417, 273.71
2020/06/08 18:44:44.066, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:44:49.072, 97, 71, 11178, 10761, 417, 263.07
2020/06/08 18:44:49.082, 0, 0, 11176, 170, 11006, 10.77
2020/06/08 18:44:54.091, 100, 65, 11178, 10761, 417, 237.70
2020/06/08 18:44:54.094, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:44:59.101, 97, 76, 11178, 10761, 417, 262.81
2020/06/08 18:44:59.107, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:45:04.114, 99, 61, 11178, 10761, 417, 181.79
2020/06/08 18:45:04.122, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:45:09.129, 97, 75, 11178, 10761, 417, 271.82
2020/06/08 18:45:09.134, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:45:14.138, 99, 61, 11178, 10761, 417, 179.03
2020/06/08 18:45:14.140, 0, 0, 11176, 170, 11006, 10.78
2020/06/08 18:45:19.143, 100, 69, 11178, 10761, 417, 267.44
2020/06/08 18:45:19.145, 0, 0, 11176, 170, 11006, 10.48
2020/06/08 18:45:24.149, 100, 70, 11178, 10761, 417, 236.06
2020/06/08 18:45:24.151, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:45:29.155, 100, 67, 11178, 10761, 417, 268.02
2020/06/08 18:45:29.159, 0, 0, 11176, 170, 11006, 10.58
2020/06/08 18:45:34.163, 97, 74, 11178, 10761, 417, 272.82
2020/06/08 18:45:34.165, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:45:39.168, 98, 72, 11178, 10761, 417, 273.23
2020/06/08 18:45:39.174, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:45:44.181, 99, 65, 11178, 10761, 417, 278.83
2020/06/08 18:45:44.188, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:45:49.195, 100, 69, 11178, 10761, 417, 274.32
2020/06/08 18:45:49.197, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:45:54.201, 97, 72, 11178, 10761, 417, 264.04
2020/06/08 18:45:54.203, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:45:59.212, 100, 65, 11178, 10761, 417, 267.05
2020/06/08 18:45:59.214, 0, 0, 11176, 170, 11006, 10.68
2020/06/08 18:46:04.217, 97, 77, 11178, 10761, 417, 272.72
2020/06/08 18:46:04.223, 0, 0, 11176, 170, 11006, 10.39
2020/06/08 18:46:09.234, 100, 70, 11178, 10761, 417, 274.68
2020/06/08 18:46:09.237, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:46:14.240, 100, 70, 11178, 10761, 417, 268.58
2020/06/08 18:46:14.242, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:46:19.246, 100, 66, 11178, 10761, 417, 272.72
2020/06/08 18:46:19.248, 0, 0, 11176, 170, 11006, 11.36
2020/06/08 18:46:24.252, 98, 73, 11178, 10761, 417, 268.87
2020/06/08 18:46:24.254, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:46:29.258, 100, 65, 11178, 10761, 417, 265.42
2020/06/08 18:46:29.263, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:46:34.270, 96, 75, 11178, 10761, 417, 259.33
2020/06/08 18:46:34.272, 0, 0, 11176, 170, 11006, 11.45
